crn,subject,title,course_num,credits,section,campus,days,start_dates,end_dates,times,linked
91726,XCHG,"Eotvos Lorand Tudomanyegyetem",000,15,213,"Off-campus Site","","","","",""
91703,XCHG,"Academic Exchange Ecole de Management de Lyon",000,15,214,"Off-campus Site","","","","",""
91880,XCHG,"Lunds universitet",000,15,215,"Off-campus Site","","","","",""
91881,XCHG,"Mahidol University",000,15,216,"Off-campus Site","","","","",""
80756,ACC,"Honours Seminar in Accounting",400,3,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
88037,AREC,"History of Indigenous Agriculture in Canada",220,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1250'",""
88814,AREC,"Introduction to Farm Business Management",222,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1230 - 1320'",""
90945,AREC,"Natural Resource Economics",238,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1420'",""
85900,AREC,"Introduction to Agricultural Policy",251,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1000 - 1120'",""
85901,AREC,"Agribusiness Taxation",254,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1530 - 1650'",""
90946,AREC,"Agricultural Data Analytics I",261,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1220'","90948,90947"
90947,AREC,"Agricultural Data Analytics I",261,0,L01," USask - Main Saskatoon Campus","'Monday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1650'","90946"
90948,AREC,"Agricultural Data Analytics I",261,0,L02," USask - Main Saskatoon Campus","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1650'","90946"
85902,AREC,"Application of Microeconomic Theory to Agriculture",315,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1250'",""
85908,AREC,"Principles of Selling",346,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1550'",""
85909,AREC,"Agribusiness Marketing Management",347,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1020'",""
85914,AREC,"Operations Management for Agriculture",420,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1030 - 1120'",""
85916,AREC,"Case Studies in Agribusiness Management",428,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1420'",""
86712,AREC,"Advanced Natural Resource Economics",430,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1130 - 1250'",""
85921,AREC,"Agricultural Marketing Systems",440,3,02," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1430 - 1550'",""
91265,AREC,"Competition Regulation and Antitrust Theory and Applications",445,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1420'",""
85923,AREC,"Research Project and Technical Writing",492,1.5,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
85924,AREC,"Research and Technical Writing Honours Thesis",494,3,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
85947,AREC,"Applied Microeconomic Theory",820,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1000 - 1120'",""
