crn,subject,title,course_num,credits,section,campus,days,start_dates,end_dates,times,linked
32256,XCHG,"Academic Exchange Aarhus Universitet",000,15,210,"Off-campus Site","","","","",""
32257,XCHG,"Academic Exchange Curtin University",000,15,211,"Off-campus Site","","","","",""
32354,XCHG,"Academic Exchange Duale Hochschule Baden-Wurttemberg Stuttgart",000,15,212,"Off-campus Site","","","","",""
20548,ACC,"Honours Seminar in Accounting",400,3,01," USask - Main Saskatoon Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
21973,AGMD,"Introduction to Occupational Health",801,3,02," USask - Main Saskatoon Campus","'Friday'","'06-Jan-2026'","'07-Apr-2026'","'0930 - 1220'",""
27614,AREC,"Innovation and Entrepreneurship",230,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'06-Jan-2026'","'07-Apr-2026'","'1300 - 1420'",""
31656,AREC,"Agricultural Data Analytics II",262,3,02," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'06-Jan-2026'","'07-Apr-2026'","'1130 - 1220'","31658,32183,31657,32182"
31657,AREC,"Agricultural Data Analytics II",262,0,L01," USask - Main Saskatoon Campus","'Monday'","'06-Jan-2026'","'07-Apr-2026'","'1330 - 1520'","31656"
31658,AREC,"Agricultural Data Analytics II",262,0,L02," USask - Main Saskatoon Campus","'Wednesday'","'06-Jan-2026'","'07-Apr-2026'","'1330 - 1520'","31656"
32182,AREC,"Agricultural Data Analytics II",262,0,L03," USask - Main Saskatoon Campus","'Wednesday'","'06-Jan-2026'","'07-Apr-2026'","'1530 - 1720'","31656"
32183,AREC,"Agricultural Data Analytics II",262,0,L04," USask - Main Saskatoon Campus","'Friday'","'06-Jan-2026'","'07-Apr-2026'","'1230 - 1420'","31656"
26436,AREC,"Introduction to Agricultural Economics",272,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'06-Jan-2026'","'07-Apr-2026'","'0830 - 0950'",""
26437,AREC,"Agricultural Finance",322,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'06-Jan-2026'","'07-Apr-2026'","'1030 - 1120'","26438,26439"
26438,AREC,"Agricultural Finance",322,0,L01," USask - Main Saskatoon Campus","'Tuesday'","'06-Jan-2026'","'07-Apr-2026'","'1300 - 1420'","26437"
26439,AREC,"Agricultural Finance",322,0,L02," USask - Main Saskatoon Campus","'Tuesday'","'06-Jan-2026'","'07-Apr-2026'","'1430 - 1550'","26437"
26441,AREC,"Industrial Organization of Agricultural Markets",342,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'06-Jan-2026'","'07-Apr-2026'","'1000 - 1120'",""
26442,AREC,"Grain and Livestock Marketing",343,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'06-Jan-2026'","'07-Apr-2026'","'0830 - 0920'",""
26443,AREC,"Follow the Grain",344,3,01," USask - Main Saskatoon Campus","'Tuesday'","'06-Jan-2026'","'07-Apr-2026'","'1430 - 1720'",""
26449,AREC,"The Economics of International Agribusiness",356,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'06-Jan-2026'","'07-Apr-2026'","'0930 - 1020'",""
26452,AREC,"Agricultural Policy Analysis",451,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'06-Jan-2026'","'07-Apr-2026'","'0830 - 0950'",""
27392,AREC,"The Economics of Agricultural Innovation",459,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'06-Jan-2026'","'07-Apr-2026'","'1000 - 1120'",""
26454,AREC,"Research Project and Technical Writing",492,1.5,01," USask - Main Saskatoon Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
26455,AREC,"Research and Technical Writing Honours Thesis",494,3,01," USask - Main Saskatoon Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
26453,AREC,"Agribusiness Venture Management",495,3,02," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'06-Jan-2026'","'07-Apr-2026'","'1130 - 1250'",""
27559,AREC,"Research Procedures in Agricultural Economics",890,3,1," USask - Main Saskatoon Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
32243,AREC,"Econometrics Reading and Application for Agricultural Economists",898,3,06," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'06-Jan-2026'","'07-Apr-2026'","'1300 - 1420'",""
26521,AREC,"Seminar",990,0.01,01," USask - Main Saskatoon Campus","'Friday'","'06-Jan-2026'","'07-Apr-2026'","'1500 - 1650'",""
26522,AREC,"Research &ndash; Thesis",994,15,01," USask - Main Saskatoon Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
26523,AREC,"Research &ndash; Dissertation",996,15,01," USask - Main Saskatoon Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
30867,AGRC,"Scientific Literacy and Communication for the Agricultural Sciences",110,3,W02,"Off-campus Site","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
31260,AGRC,"Scientific Literacy and Communication for the Agricultural Sciences",110,3,W16," USask - Prince Albert Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
31261,AGRC,"Scientific Literacy and Communication for the Agricultural Sciences",110,3,W20,"Great Plains College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
31262,AGRC,"Scientific Literacy and Communication for the Agricultural Sciences",110,3,W40,"Northlands College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
31263,AGRC,"Scientific Literacy and Communication for the Agricultural Sciences",110,3,W50,"North West College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
31264,AGRC,"Scientific Literacy and Communication for the Agricultural Sciences",110,3,W80,"Southeast College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
31947,AGRC,"Scientific Literacy and Communication for the Agricultural Sciences",110,3,W96,"St. Peter&#39;s College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
23740,AGRC,"Introduction to Plant and Soil Sciences",111,3,W02,"Off-campus Site","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
23742,AGRC,"Introduction to Plant and Soil Sciences",111,3,W16," USask - Prince Albert Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
23743,AGRC,"Introduction to Plant and Soil Sciences",111,3,W20,"Great Plains College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
27189,AGRC,"Introduction to Plant and Soil Sciences",111,3,W40,"Northlands College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
23745,AGRC,"Introduction to Plant and Soil Sciences",111,3,W80,"Southeast College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
31948,AGRC,"Introduction to Plant and Soil Sciences",111,3,W96,"St. Peter&#39;s College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
20255,AGRC,"Animal Agriculture and Food Science",112,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'06-Jan-2026'","'07-Apr-2026'","'1130 - 1220'","20261,20257,20259,20262"
20257,AGRC,"Animal Agriculture and Food Science",112,0,L01," USask - Main Saskatoon Campus","'Monday'","'06-Jan-2026'","'07-Apr-2026'","'1330 - 1520'","20255"
20259,AGRC,"Animal Agriculture and Food Science",112,0,L02," USask - Main Saskatoon Campus","'Monday'","'06-Jan-2026'","'07-Apr-2026'","'1530 - 1720'","20255"
20261,AGRC,"Animal Agriculture and Food Science",112,0,L03," USask - Main Saskatoon Campus","'Tuesday'","'06-Jan-2026'","'07-Apr-2026'","'1330 - 1520'","20255"
20262,AGRC,"Animal Agriculture and Food Science",112,0,L04," USask - Main Saskatoon Campus","'Tuesday'","'06-Jan-2026'","'07-Apr-2026'","'1530 - 1720'","20255"
24634,AGRC,"Animal Agriculture and Food Science",112,3,W02,"Off-campus Site","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
24636,AGRC,"Animal Agriculture and Food Science",112,3,W10,"Suncrest College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
24635,AGRC,"Animal Agriculture and Food Science",112,3,W16," USask - Prince Albert Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
24637,AGRC,"Animal Agriculture and Food Science",112,3,W20,"Great Plains College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
27190,AGRC,"Animal Agriculture and Food Science",112,3,W40,"Northlands College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
24638,AGRC,"Animal Agriculture and Food Science",112,3,W50,"North West College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
29720,AGRC,"Animal Agriculture and Food Science",112,3,W80,"Southeast College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
24640,AGRC,"Animal Agriculture and Food Science",112,3,W96,"St. Peter&#39;s College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
20266,AGRC,"Introduction to Agri Food Economics",113,3,01," USask - Main Saskatoon Campus","'Tuesday,Thursday'","'06-Jan-2026'","'07-Apr-2026'","'1130 - 1250'",""
26617,AGRC,"Introduction to Agri Food Economics",113,3,W02,"Off-campus Site","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
26618,AGRC,"Introduction to Agri Food Economics",113,3,W10,"Suncrest College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
26619,AGRC,"Introduction to Agri Food Economics",113,3,W16," USask - Prince Albert Campus","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
26634,AGRC,"Introduction to Agri Food Economics",113,3,W20,"Great Plains College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
27193,AGRC,"Introduction to Agri Food Economics",113,3,W50,"North West College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
27195,AGRC,"Introduction to Agri Food Economics",113,3,W80,"Southeast College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
26633,AGRC,"Introduction to Agri Food Economics",113,3,W96,"St. Peter&#39;s College","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
24648,AGRC,"Global Food Security",211,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday,Friday'","'06-Jan-2026'","'07-Apr-2026'","'1230 - 1320'",""
31084,AGRC,"Work Integrated Learning Concentration",800,0.01,02,"Off-campus Site","''","'06-Jan-2026'","'07-Apr-2026'","'None - None'",""
